county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,county_full_with_state
Dakota,Dakota,Dakota County,27037,MN,Minnesota,44.6719,-93.0654,439179,"Dakota County, MN"
Monterey,Monterey,Monterey County,6053,CA,California,36.2171,-121.2388,437609,"Monterey County, CA"
Jefferson,Jefferson,Jefferson Parish,22051,LA,Louisiana,29.7882,-90.1276,436171,"Jefferson Parish, LA"
Pinal,Pinal,Pinal County,4021,AZ,Arizona,32.9044,-111.3448,433338,"Pinal County, AZ"
Lucas,Lucas,Lucas County,39095,OH,Ohio,41.6197,-83.6589,430014,"Lucas County, OH"
Berks,Berks,Berks County,42011,PA,Pennsylvania,40.4163,-75.926,428483,"Berks County, PA"
Hillsborough,Hillsborough,Hillsborough County,33011,NH,New Hampshire,42.9153,-71.7161,422733,"Hillsborough County, NH"
Cameron,Cameron,Cameron County,48061,TX,Texas,26.1332,-97.5186,421854,"Cameron County, TX"
Clackamas,Clackamas,Clackamas County,41005,OR,Oregon,45.188,-122.2208,420925,"Clackamas County, OR"
Loudoun,Loudoun,Loudoun County,51107,VA,Virginia,39.0907,-77.6357,420773,"Loudoun County, VA"
Richland,Richland,Richland County,45079,SC,South Carolina,34.0218,-80.9031,416161,"Richland County, SC"
Mobile,Mobile,Mobile County,1097,AL,Alabama,30.7877,-88.2058,413878,"Mobile County, AL"
Charleston,Charleston,Charleston County,45019,SC,South Carolina,32.8348,-79.953,409840,"Charleston County, SC"
Waukesha,Waukesha,Waukesha County,55133,WI,Wisconsin,43.0182,-88.3045,407290,"Waukesha County, WI"
Placer,Placer,Placer County,6061,CA,California,39.0634,-120.7177,406608,"Placer County, CA"
St. Charles,St. Charles,St. Charles County,29183,MO,Missouri,38.782,-90.6749,406262,"St. Charles County, MO"
Genesee,Genesee,Genesee County,26049,MI,Michigan,43.0217,-83.7067,405280,"Genesee County, MI"
Manatee,Manatee,Manatee County,12081,FL,Florida,27.4719,-82.3153,405069,"Manatee County, FL"
Orange,Orange,Orange County,36071,NY,New York,41.4022,-74.3056,401237,"Orange County, NY"
Pulaski,Pulaski,Pulaski County,5119,AR,Arkansas,34.77,-92.312,398322,"Pulaski County, AR"
Osceola,Osceola,Osceola County,12097,FL,Florida,28.0626,-81.1495,393745,"Osceola County, FL"
Madison,Madison,Madison County,1089,AL,Alabama,34.7631,-86.5502,389781,"Madison County, AL"
Butler,Butler,Butler County,39017,OH,Ohio,39.4386,-84.5756,388327,"Butler County, OH"
Lake,Lake,Lake County,12069,FL,Florida,28.7615,-81.7113,386829,"Lake County, FL"
Allen,Allen,Allen County,18003,IN,Indiana,41.0909,-85.0666,385456,"Allen County, IN"
Forsyth,Forsyth,Forsyth County,37067,NC,North Carolina,36.1306,-80.2563,383739,"Forsyth County, NC"
Mercer,Mercer,Mercer County,34021,NJ,New Jersey,40.2834,-74.7018,383732,"Mercer County, NJ"
Lane,Lane,Lane County,41039,OR,Oregon,43.9387,-122.848,382218,"Lane County, OR"
Orleans,Orleans,Orleans Parish,22071,LA,Louisiana,30.0687,-89.9289,380408,"Orleans Parish, LA"
Collier,Collier,Collier County,12021,FL,Florida,26.1108,-81.3474,380221,"Collier County, FL"
Marion,Marion,Marion County,12083,FL,Florida,29.2102,-82.0567,378225,"Marion County, FL"
Brazoria,Brazoria,Brazoria County,48039,TX,Texas,29.1898,-95.4521,374600,"Brazoria County, TX"
Stark,Stark,Stark County,39151,OH,Ohio,40.8139,-81.3656,374199,"Stark County, OH"
Lehigh,Lehigh,Lehigh County,42077,PA,Pennsylvania,40.6127,-75.5923,374110,"Lehigh County, PA"
Bell,Bell,Bell County,48027,TX,Texas,31.0373,-97.4788,372821,"Bell County, TX"
Washtenaw,Washtenaw,Washtenaw County,26161,MI,Michigan,42.2532,-83.8388,370231,"Washtenaw County, MI"
Hamilton,Hamilton,Hamilton County,47065,TN,Tennessee,35.1808,-85.1648,367193,"Hamilton County, TN"
Chesterfield,Chesterfield,Chesterfield County,51041,VA,Virginia,37.3785,-77.587,366019,"Chesterfield County, VA"
Anoka,Anoka,Anoka County,27003,MN,Minnesota,45.2733,-93.2465,363985,"Anoka County, MN"
Davis,Davis,Davis County,49011,UT,Utah,40.99,-112.1115,363032,"Davis County, UT"
Douglas,Douglas,Douglas County,8035,CO,Colorado,39.3298,-104.9293,360206,"Douglas County, CO"
Larimer,Larimer,Larimer County,8069,CO,Colorado,40.6664,-105.4611,359363,"Larimer County, CO"
Horry,Horry,Horry County,45051,SC,South Carolina,33.9214,-78.9967,356578,"Horry County, SC"
Westmoreland,Westmoreland,Westmoreland County,42129,PA,Pennsylvania,40.3109,-79.4668,354414,"Westmoreland County, PA"
Nueces,Nueces,Nueces County,48355,TX,Texas,27.7254,-97.6134,353245,"Nueces County, TX"
Galveston,Galveston,Galveston County,48167,TX,Texas,29.3944,-94.9642,350801,"Galveston County, TX"
Hamilton,Hamilton,Hamilton County,18057,IN,Indiana,40.0725,-86.052,349527,"Hamilton County, IN"
Marion,Marion,Marion County,41047,OR,Oregon,44.9033,-122.5847,345815,"Marion County, OR"
Somerset,Somerset,Somerset County,34035,NJ,New Jersey,40.5635,-74.6163,344978,"Somerset County, NJ"
Rutherford,Rutherford,Rutherford County,47149,TN,Tennessee,35.8427,-86.4167,343727,"Rutherford County, TN"
Rockland,Rockland,Rockland County,36087,NY,New York,41.1525,-74.0242,337326,"Rockland County, NY"
